avgHours,totalHours,attendance,lateArrivals,missedCheckouts,idleWarningDays,geoOutOfRange,pendingTasks,overdueTasks,burnout
8.62,215.54,92.0,4,5,3,4,14,5,Low
12.66,253.1,67.14,4,3,9,8,27,0,Medium
11.12,311.47,86.11,14,1,6,16,10,4,Medium
10.19,203.81,69.53,0,3,0,12,10,8,High
7.09,170.21,63.98,7,0,16,1,0,4,Medium
7.09,163.12,69.73,11,6,1,12,16,5,High
6.41,140.94,88.89,7,1,10,21,14,7,Medium
12.06,301.58,94.23,3,1,8,20,19,0,Medium
10.21,214.36,93.21,12,8,6,22,5,1,Medium
10.96,241.04,75.89,6,4,16,18,23,8,High
6.14,147.46,86.72,14,1,16,2,21,2,Medium
12.79,358.1,68.2,14,8,1,9,27,5,High
11.83,248.37,71.73,10,8,5,1,24,4,High
7.49,217.1,95.85,9,0,13,12,14,1,Medium
7.27,196.36,60.52,2,2,5,18,8,6,Medium
7.28,152.96,63.42,5,3,1,16,13,3,Medium
8.13,195.11,68.32,13,6,0,20,17,0,High
9.67,251.51,61.06,9,9,9,13,25,3,High
9.02,243.64,67.26,12,3,4,11,16,5,High
8.04,160.77,83.32,9,1,1,20,17,6,High
10.28,257.07,76.86,11,6,15,11,4,6,High
6.98,139.53,95.71,13,5,1,10,19,6,Medium
8.05,168.95,92.7,8,2,9,6,19,2,Low
8.56,171.29,73.67,0,5,1,3,8,5,Low
9.19,220.62,70.38,4,5,15,18,10,7,High
11.5,333.39,75.19,3,4,15,0,23,3,High
7.4,207.14,83.61,7,3,18,23,21,7,High
9.6,239.99,70.72,10,9,6,2,0,1,Medium
10.15,202.94,84.97,11,0,11,12,17,9,High
6.33,126.5,76.38,0,9,14,14,5,8,Medium
10.25,215.31,82.08,8,5,7,1,26,8,High
7.19,201.42,77.45,5,1,5,10,1,7,Medium
6.46,142.02,71.78,3,2,9,3,14,9,Medium
12.64,252.84,97.94,11,7,2,18,28,9,High
12.76,306.23,90.54,8,9,18,16,25,0,High
11.66,303.13,65.6,10,5,16,2,20,1,High
8.13,203.31,94.74,4,2,6,17,13,5,Low
6.68,133.67,79.5,14,6,19,7,4,9,High
10.79,258.95,95.78,4,3,3,21,5,4,Low
9.08,217.95,91.99,11,8,13,24,5,8,High
6.85,171.36,77.01,4,4,19,23,29,4,Medium
9.47,208.26,60.9,0,2,14,18,21,1,Medium
6.24,149.78,70.75,0,1,7,4,29,9,Medium
12.37,321.5,81.67,7,1,14,6,17,3,High
7.81,187.48,85.34,11,2,19,20,13,8,Medium
10.64,255.3,70.32,7,1,13,7,9,0,High
8.18,196.37,65.57,11,3,8,4,13,0,Medium
9.64,279.57,93.4,14,1,7,16,12,6,Medium
9.83,284.98,99.38,14,9,16,4,29,2,High
7.29,160.47,81.03,5,8,1,3,2,9,Medium
12.79,255.74,66.87,11,1,2,21,29,1,High
11.43,274.22,70.89,10,8,7,18,5,8,High
12.58,352.14,60.74,12,5,11,20,28,2,High
12.26,245.28,96.57,3,0,0,1,7,1,Low
10.19,224.08,64.71,1,3,9,10,11,7,High
12.45,286.42,83.06,13,0,19,21,12,9,High
6.62,132.39,70.96,1,5,2,12,10,5,Medium
7.37,147.44,82.17,8,3,5,14,11,5,Medium
6.32,170.55,86.06,14,2,6,11,0,9,Medium
8.28,173.82,93.19,4,2,19,21,16,6,Medium
8.72,235.46,68.26,3,8,17,20,15,6,High
7.9,205.39,60.44,9,5,10,21,10,5,Medium
11.8,342.23,65.48,12,8,18,10,12,3,High
8.5,246.42,96.0,0,4,4,6,17,8,Medium
7.97,167.3,94.96,6,1,18,4,10,5,Medium
9.8,244.97,83.9,2,7,10,16,27,3,Medium
6.99,174.66,84.02,5,4,11,23,11,2,Low
11.62,255.54,86.6,4,1,9,19,5,3,Low
6.52,136.96,67.01,4,3,7,8,8,2,Low
12.91,258.16,96.58,10,8,8,13,15,1,Medium
11.41,285.14,76.75,4,3,3,11,3,4,Medium
7.39,177.38,75.33,0,3,4,5,2,1,Low
6.04,169.08,80.76,0,1,7,16,27,5,Medium
11.71,234.16,61.88,2,5,8,18,15,2,Medium
10.95,284.65,66.65,13,1,14,18,23,5,High
11.1,266.47,89.52,11,6,14,15,26,9,High
11.4,273.57,63.31,9,2,15,11,25,8,High
6.52,136.88,84.13,3,2,13,11,29,0,Medium
8.51,187.2,69.81,4,4,7,19,24,5,Medium
6.81,177.09,75.57,1,2,17,5,11,8,Medium
12.04,301.04,71.55,7,1,9,22,10,3,High
10.36,217.62,74.23,10,9,19,3,4,1,High
8.32,207.91,88.76,10,8,5,5,24,3,Medium
6.44,135.34,71.88,13,1,11,10,17,0,Medium
8.18,171.71,82.66,1,1,1,0,18,2,Low
8.28,173.8,79.04,8,7,6,23,22,9,High
11.11,244.36,86.55,1,8,15,22,22,8,High
10.46,219.72,97.47,12,6,2,14,5,9,High
12.21,280.84,89.3,8,2,12,10,21,4,Medium
9.31,260.55,68.6,6,8,2,24,17,5,High
6.84,170.93,61.25,14,2,17,18,25,2,High
10.99,219.85,70.49,7,4,10,17,5,4,Medium
11.33,305.79,83.8,14,8,7,16,3,7,High
9.93,258.15,62.06,10,2,5,18,11,5,High
11.4,330.51,79.85,1,6,0,20,18,3,High
9.46,208.04,83.87,6,0,0,13,28,1,Medium
9.66,193.18,73.37,11,3,7,17,26,8,High
8.99,215.83,90.84,5,3,4,18,28,0,Low
6.18,142.09,64.26,3,6,15,14,1,0,Medium
6.76,195.9,63.01,6,7,10,14,16,3,High
6.22,167.94,89.13,13,0,4,3,10,6,Medium
10.45,209.1,79.82,12,4,3,6,10,0,Medium
8.2,237.81,87.54,3,6,5,12,20,8,Medium
9.56,191.2,77.39,1,3,13,2,15,3,Medium
12.35,284.12,69.86,9,3,18,15,1,2,High
7.75,209.12,92.76,11,3,8,8,1,0,Low
8.87,212.94,91.98,6,5,11,7,22,9,Medium
11.29,237.07,87.79,7,6,10,19,7,3,Medium
7.6,190.04,70.89,1,1,13,12,12,8,Medium
6.54,156.93,83.61,4,4,15,16,9,9,Medium
8.03,168.59,74.44,0,3,0,16,7,5,Low
7.13,156.83,63.66,6,2,12,16,29,5,Medium
12.51,350.22,96.69,7,6,12,0,3,0,Medium
11.66,303.08,65.47,12,5,1,7,14,9,High
10.43,271.28,98.01,5,6,3,18,29,1,Medium
12.1,302.51,77.84,4,4,5,5,0,5,Medium
11.63,313.89,67.41,14,5,4,2,10,1,High
7.31,168.04,81.68,5,4,2,4,6,2,Low
12.25,330.69,94.92,14,6,0,12,16,3,High
9.78,224.83,89.29,1,1,3,14,26,4,Medium
11.65,314.61,92.26,0,4,19,13,19,8,High
12.27,343.63,86.35,6,5,1,22,23,3,Medium
8.23,180.97,87.69,6,5,4,15,17,8,Medium
6.77,148.95,93.97,9,4,2,17,21,9,Medium
7.6,159.51,69.99,10,9,8,21,28,2,High
8.99,260.7,79.58,9,6,19,21,21,7,High
11.73,257.97,68.85,13,9,5,10,11,0,High
12.03,264.55,99.51,1,7,17,2,8,8,Medium
6.05,145.17,97.76,1,6,5,21,4,8,Low
9.58,229.81,61.58,0,4,18,9,9,9,High
8.92,187.36,88.22,9,0,11,9,3,1,Low
7.55,219.09,97.01,7,4,10,20,4,3,Low
6.84,170.98,67.22,14,9,1,15,27,7,High
8.36,200.72,82.72,7,1,14,11,27,6,High
12.6,315.01,96.62,0,4,11,1,9,0,Low
8.26,165.25,61.36,11,4,11,8,10,4,Medium
9.63,231.16,87.9,10,1,8,23,20,6,High
10.92,305.79,71.89,7,4,1,2,23,3,High
8.55,247.82,96.98,8,3,2,23,9,0,Low
12.8,268.85,98.84,13,0,11,24,27,8,High
12.74,254.74,97.77,3,2,15,14,7,4,Medium
7.76,225.11,78.97,0,0,0,2,1,1,Low
9.48,265.46,94.48,0,4,2,18,22,7,Medium
8.11,235.08,93.78,2,3,19,17,7,1,Low
7.99,223.83,72.76,14,6,1,7,15,2,Medium
6.26,175.23,93.16,13,4,8,16,26,9,Medium
10.27,256.67,61.48,4,9,18,7,21,0,High
9.52,257.01,83.85,4,3,14,6,4,1,Low
6.36,127.21,69.2,8,1,17,6,26,6,High
