tasks_completed,avg_completion_hrs,attendance,projects,avg_hours,ontime_pct,label
48,3.74,74.44,10,10.35,64.99,Problem Solver
38,9.34,63.66,6,8.7,89.33,Multitasker
24,8.65,96.69,10,8.29,91.02,Consistency Champion
52,4.58,65.47,7,10.21,52.72,Problem Solver
17,7.63,98.01,4,9.36,79.44,Balanced Performer
30,7.67,77.84,8,5.5,68.34,Multitasker
48,1.48,67.41,5,9.1,92.81,Speedster
28,9.07,81.68,1,11.45,52.94,Balanced Performer
32,5.3,94.92,4,8.67,80.67,Balanced Performer
20,8.35,89.29,3,5.42,76.47,Balanced Performer
20,3.54,92.26,9,11.29,57.72,Problem Solver
33,9.01,86.35,8,6.61,48.2,Multitasker
45,4.2,87.69,1,7.07,79.1,Balanced Performer
49,0.6,93.97,6,6.32,84.32,Speedster
33,9.1,69.99,9,7.64,58.94,Multitasker
12,1.37,79.58,7,11.05,78.69,Problem Solver
31,3.53,68.85,4,9.16,63.71,Balanced Performer
11,9.53,99.51,1,6.64,82.79,Planner
33,9.53,97.76,2,12.02,51.95,Balanced Performer
53,5.95,61.58,5,12.04,93.41,Balanced Performer
39,6.5,88.22,5,11.96,57.24,Balanced Performer
47,4.76,97.01,8,6.91,62.07,Multitasker
11,3.29,67.22,6,8.61,43.49,Balanced Performer
30,3.62,82.72,8,12.88,46.69,Problem Solver
42,6.89,96.62,2,11.18,70.95,Balanced Performer
21,7.65,61.36,3,5.22,56.06,Balanced Performer
31,8.02,87.9,6,5.52,90.13,Multitasker
53,8.0,71.89,10,8.71,40.88,Multitasker
34,1.37,96.98,3,12.27,62.75,Balanced Performer
58,5.2,98.84,6,9.31,60.24,Multitasker
36,1.05,97.77,6,8.98,41.16,Multitasker
51,5.72,78.97,2,5.84,47.46,Balanced Performer
37,4.69,94.48,7,10.25,64.82,Problem Solver
25,8.93,93.78,2,11.58,69.57,Balanced Performer
24,3.83,72.76,6,8.04,64.26,Balanced Performer
56,1.61,93.16,1,11.2,71.86,Speedster
60,1.86,61.48,3,12.72,75.71,Speedster
53,7.73,83.85,2,6.63,40.6,Balanced Performer
12,6.37,69.2,7,9.19,67.85,Problem Solver
46,1.46,64.82,4,7.3,97.81,Speedster
60,1.3,63.08,8,11.34,71.14,Speedster
16,7.16,87.85,6,9.62,80.65,Balanced Performer
30,1.19,73.59,10,10.08,58.71,Problem Solver
18,8.31,88.99,4,11.38,86.44,Balanced Performer
48,7.21,62.61,5,8.17,86.38,Balanced Performer
27,1.27,72.61,9,12.32,71.28,Problem Solver
13,1.31,81.58,7,9.26,98.56,Problem Solver
34,9.87,91.63,10,6.26,47.53,Multitasker
23,4.06,72.75,9,10.57,41.02,Problem Solver
59,4.02,85.04,7,11.35,86.21,Problem Solver
18,8.22,95.44,1,7.53,88.43,Consistency Champion
35,9.5,84.63,8,11.86,47.21,Problem Solver
11,9.87,69.32,4,12.25,55.93,Balanced Performer
29,7.66,60.98,3,7.22,41.05,Balanced Performer
37,4.07,94.8,7,12.87,57.6,Problem Solver
56,1.29,60.85,3,6.13,86.39,Speedster
16,7.88,94.99,8,6.62,71.08,Balanced Performer
53,5.8,81.16,6,6.47,60.89,Multitasker
17,4.53,97.56,5,12.15,62.3,Balanced Performer
56,9.11,91.95,4,10.23,40.08,Balanced Performer
44,1.56,99.92,8,6.22,57.99,Speedster
23,5.18,74.03,8,8.52,78.79,Balanced Performer
26,0.61,90.69,1,9.92,98.45,Consistency Champion
45,4.95,76.08,9,5.67,90.82,Multitasker
59,1.03,79.2,5,12.06,41.42,Speedster
49,1.63,85.1,4,11.43,93.91,Speedster
13,1.62,94.95,6,9.04,86.99,Consistency Champion
11,6.67,99.36,6,12.74,86.82,Consistency Champion
15,7.59,90.73,2,8.34,67.48,Balanced Performer
51,6.04,76.71,8,12.87,63.88,Problem Solver
13,9.64,76.85,7,10.34,58.17,Problem Solver
38,4.06,89.5,1,10.08,43.94,Balanced Performer
27,3.21,69.55,5,6.33,53.69,Balanced Performer
35,8.75,64.42,6,12.06,54.8,Multitasker
53,2.62,74.18,4,8.42,69.04,Balanced Performer
43,9.65,71.49,2,6.3,84.85,Planner
19,0.62,71.85,4,5.1,68.43,Balanced Performer
45,9.71,69.34,1,9.48,43.47,Balanced Performer
23,0.91,61.68,7,9.22,97.47,Problem Solver
40,8.97,60.71,2,10.75,96.56,Balanced Performer
57,5.51,99.51,2,12.12,87.11,Consistency Champion
24,9.93,77.11,9,5.64,99.48,Planner
17,1.2,75.37,5,10.85,72.67,Balanced Performer
23,5.76,87.19,2,6.5,97.77,Planner
