attendance,completion,projects,hours,late_arrivals,score
81.95,58.62,2,5.51,7,46.81
88.61,62.38,7,11.78,11,63.18
84.11,71.5,6,12.59,8,65.78
81.8,85.04,5,7.12,4,62.85
76.95,60.01,5,5.81,3,52.16
85.84,95.45,5,7.29,10,62.75
77.5,91.74,8,6.57,14,61.56
95.67,42.92,3,5.07,0,52.23
98.55,55.22,3,12.13,2,64.05
75.34,66.77,7,11.31,10,64.63
91.67,46.28,6,7.42,12,49.03
81.16,60.91,4,10.16,5,61.79
82.72,84.41,1,12.76,4,60.98
97.02,80.83,9,11.28,2,78.86
62.84,77.34,9,10.99,7,72.02
63.49,82.63,2,9.86,10,53.34
60.81,52.3,9,7.96,3,57.71
93.3,60.5,8,9.68,7,59.78
91.13,80.57,6,6.26,3,72.07
94.8,92.75,8,5.3,1,84.26
99.14,72.62,5,8.14,13,58.83
91.97,56.96,1,6.23,4,50.8
78.46,41.81,8,6.22,5,55.28
91.22,82.62,3,8.84,3,67.53
64.73,40.47,4,6.42,14,30.25
85.6,62.36,6,6.6,2,62.26
65.73,71.83,5,9.6,11,54.0
97.79,95.33,1,8.66,14,55.69
80.87,45.37,5,10.74,14,43.3
76.59,64.36,6,8.7,1,67.37
70.58,41.46,9,7.46,11,47.75
90.97,60.56,2,10.09,14,51.64
78.25,77.33,5,8.86,10,59.9
82.74,56.74,9,12.82,14,63.68
60.75,52.58,1,6.98,11,27.24
84.71,46.94,2,10.4,3,57.43
84.48,74.63,2,12.9,4,67.91
84.68,81.72,9,12.41,4,79.54
97.75,80.32,5,7.02,6,67.48
87.27,96.93,1,10.76,9,63.47
74.38,40.16,4,8.09,9,40.88
77.48,78.83,1,11.08,3,67.36
87.91,76.02,8,6.01,7,62.19
62.41,75.32,1,12.78,12,47.02
86.67,97.77,9,6.2,4,79.53
86.83,41.01,2,10.6,11,44.68
68.42,81.79,3,7.76,13,45.24
65.16,88.82,9,6.5,12,55.7
72.62,70.59,6,8.13,0,67.33
